Company,Year,Female %,Male %,% White,% Asian,% Latino,% Black,% Multi,% Other & Undeclared
Facebook,2014,31,69,57,34,4,2,3,0
LinkedIn,2014,39,61,53,38,4,2,2,1
Pinterest,2014,40,60,50,42,2,1,0,5
Tumblr,2014,37,63,50,39,4,2,2,2
Twitter,2014,30,70,59,29,3,2,3,4
Google,2014,30,70,61,30,3,2,4,0
Apple,2014,32,68,56,19,12,9,2,3
eBay,2014,42,58,61,24,5,7,1,1
Overall Average,2014,35,65,56,32,5,3,2,2
Facebook,2015,32,68,55,36,4,2,3,0
LinkedIn,2015,42,58,56,37,4,2,1,<1
Pinterest,2015,42,58,49,43,2,1,3,1
Tumblr,2015,37,62,50,39,4,2,2,3
Twitter,2015,30,70,59,29,3,2,3,4
Google,2015,30,70,60,31,3,2,3,<1
Apple,2015,31,69,54,18,11,8,2,7
eBay,2015,43,57,60,25,5,8,1,1
Overall Average,2015,36,64,55,32,5,3,2,3
Facebook,2016,33,67,52,38,4,2,3,1
LinkedIn,2016,42,58,56,37,4,2,1,<1
Pinterest,2016,44,56,49,41,4,2,4,1
Tumblr,2016,37,63,45,44,4,2,2,3
Twitter,2016,37,63,57,32,4,3,3,1
Google,2016,31,69,59,32,3,2,3,<1
Apple,2016,32,68,56,19,12,9,2,1
eBay,2016,38,62,52,40,4,2,1,1
Overall Average,2016,37,63,53,35,5,3,2,1
